,Gender,Birthplace,Occupation,continent,industry,count,educationLevel
301113,Male,Russia,Operator,Europe,workers,1,read & write
855363,Male,Russia,Tailor,Europe,Proprietor,1,read & write
692766,Male,France,Servant,Europe,servant,1,read & write
410841,Male,Austria,Painter,Europe,artist,1,read & write
1257945,Male,England,Waiter,Europe,servant,1,read & write
72411,Male,Russia,Waiter,Europe,servant,1,read & write
1117547,Male,Ireland,Laborer,Europe,workers,1,read & write
1241337,Female,Germany,Servant,Europe,servant,1,read & write
1256004,Female,Ireland,Cook,Europe,workers,1,read & write
412478,Female,Russia,Operator,Europe,workers,1,read & write
85378,Female,Russia,Operator,Europe,workers,1,read & write
757147,Male,England,Clerk,Europe,paperworker,1,read & write
1047937,Male,Hungary,Helper,Europe,Helper,1,illiterate
1117888,Male,Austria,Laborer,Europe,workers,1,illiterate
580018,Male,Italy,Presser,Europe,workers,1,read & write
642903,Female,Romania,Bookkeeper,Europe,paperworker,1,read & write
809882,Male,Russia,Tailor,Europe,Proprietor,1,read & write
114298,Male,Russia,Presser,Europe,workers,1,illiterate
661364,Male,Italy,Laborer,Europe,workers,1,illiterate
353000,Male,Russia,Cutter,Europe,workers,1,read & write
951648,Female,Germany,Bookkeeper,Europe,paperworker,1,read & write
476019,Male,Russia,Proprietor,Europe,Proprietor,1,read & write
637328,Male,Austria,Cutter,Europe,workers,1,read & write
755784,Male,England,Painter,Europe,artist,1,read & write
1052781,Male,Austria,Machinist,Europe,engineer,1,read & write
101165,Male,Russia,Carpenter,Europe,Proprietor,1,read & write
109952,Male,Russia,Salesman,Europe,servant,1,read & write
161517,Male,Italy,Presser,Europe,workers,1,read & write
805395,Female,Italy,Dressmaker,Europe,Proprietor,1,read & write
229766,Male,Ireland,Cutter,Europe,workers,1,read & write
1056119,Male,Austria,Tailor,Europe,Proprietor,1,read & write
1054171,Female,Austria,Saleslady,Europe,servant,1,read & write
296878,Male,Russia,Peddler,Europe,Proprietor,1,illiterate
981236,Female,Italy,Dressmaker,Europe,Proprietor,1,illiterate
21841,Female,Italy,Dressmaker,Europe,Proprietor,1,illiterate
1064547,Male,Austria,Carpenter,Europe,Proprietor,1,read & write
987652,Female,Germany,Packer,Europe,workers,1,read & write
494643,Female,Hungary,Dressmaker,Europe,Proprietor,1,read & write
298566,Male,Germany,Driver,Europe,servant,1,read & write
385946,Female,Austria,Servant,Europe,servant,1,illiterate
316161,Male,Italy,Laborer,Europe,workers,1,read & write
113036,Male,Russia,Operator,Europe,workers,1,read & write
722177,Male,Ireland,Carpenter,Europe,Proprietor,1,read & write
876058,Male,Italy,Laborer,Europe,workers,1,illiterate
9027,Male,Austria,Porter,Europe,servant,1,read & write
133265,Male,Russia,Peddler,Europe,Proprietor,1,read & write
110684,Male,Russia,Presser,Europe,workers,1,read & write
756819,Female,Ireland,Operator,Europe,workers,1,read & write
380472,Male,Austria,Cutter,Europe,workers,1,read & write
