DataID,Gender,Race,Age,Father's Birthplace,Occupation,Can Read,Can Write,Attended School,continent,industry,count
4449800_00156,Male,White,48.0,Newfoundland,Laborer,Yes,Yes,,NorthAmerica,workers,1
4449800_00156,Male,White,18.0,Newfoundland,Driver,Yes,Yes,No,NorthAmerica,servant,1
4449800_00178,Male,White,22.0,Montana,Driver,Yes,Yes,,NorthAmerica,servant,1
4449800_00145,Male,White,16.0,Brazil,Driver,Yes,Yes,No,SouthAmerica,servant,1
4449800_00223,Male,Chinese,54.0,China,Proprietor,Yes,Yes,No,Aisa,Proprietor,1
4449800_00016,Female,White,24.0,Barbados,Servant,Yes,Yes,,SouthAmerica,servant,1
4449800_00032,Male,White,24.0,Japan,Servant,Yes,Yes,No,Aisa,servant,1
4449800_00031,Male,Japanese,35.0,Japan,Cook,No,No,,Aisa,workers,1
4449800_00073,Male,White,25.0,Canada,Driver,Yes,Yes,,NorthAmerica,servant,1
4449800_00082,Male,White,21.0,Canada,Porter,Yes,Yes,No,NorthAmerica,servant,1
4449800_00252,Male,Black,21.0,West Indies,Waiter,Yes,Yes,No,SouthAmerica,servant,1
4449800_00279,Male,Chinese,30.0,China,Helper,Yes,Yes,No,Aisa,Helper,1
4449800_00282,Male,Chinese,28.0,China,Helper,Yes,Yes,No,Aisa,Helper,1
4449800_00261,Male,White,26.0,Canada,Cook,Yes,Yes,,NorthAmerica,workers,1
4449800_00261,Male,White,26.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant,1
4449800_00274,Male,White,26.0,Canada,Packer,Yes,Yes,No,NorthAmerica,workers,1
31776_4449715-00269,Male,White,64.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers,1
31776_4449715-00264,Male,White,24.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker,1
31776_4449715-00264,Male,White,23.0,Canada,Housework,Yes,Yes,,NorthAmerica,servant,1
31776_4449715-00248,Male,White,35.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant,1
31776_4449715-00308,Male,Japanese,63.0,Japan,Cook,No,No,,Aisa,workers,1
31776_4449715-00308,Male,Japanese,34.0,Japan,Cook,No,No,,Aisa,workers,1
31776_4449715-00460,Male,Japanese,24.0,Japan,Cook,No,No,,Aisa,workers,1
31776_4449715-00304,Male,Chinese,49.0,China,Cook,Yes,Yes,,Aisa,workers,1
31776_4449715-00304,Female,Chinese,50.0,China,Cook,Yes,Yes,,Aisa,workers,1
31776_4449715-00302,Male,White,38.0,Japan,Cook,Yes,Yes,,Aisa,workers,1
31776_4449715-00477,Male,White,35.0,Canada,Driver,Yes,Yes,,NorthAmerica,servant,1
31776_4449715-00300,Male,Chinese,27.0,China,Cook,Yes,Yes,,Aisa,workers,1
31776_4449715-00454,Male,Japanese,58.0,Japan,Cook,Yes,Yes,,Aisa,workers,1
31776_4449715-00465,Male,Japanese,24.0,Japan,Servant,No,No,,Aisa,servant,1
31776_4449715-00465,Male,Japanese,32.0,Japan,Servant,No,No,,Aisa,servant,1
31776_4449715-00465,Male,Japanese,23.0,Japan,Servant,No,No,,Aisa,servant,1
31776_4449715-00465,Male,Japanese,34.0,Japan,Servant,No,No,,Aisa,servant,1
31776_4449715-00464,Male,Chinese,51.0,China,Cook,No,No,,Aisa,workers,1
31776_4449715-00464,Male,Chinese,31.0,China,Cook,No,No,,Aisa,workers,1
31776_4449715-00464,Male,Chinese,39.0,China,Cook,No,No,,Aisa,workers,1
31776_4449715-00074,Male,White,18.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers,1
31776_4449715-00074,Male,White,23.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant,1
31776_4449715-00097,Male,White,21.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers,1
31776_4449715-00108,Male,White,56.0,Cuba,Cigar Maker,Yes,Yes,,SouthAmerica,Proprietor,1
31776_4449715-00102,Male,White,38.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers,1
31776_4449715-00032,Male,White,24.0,Canada,Carpenter,Yes,Yes,No,NorthAmerica,Proprietor,1
31776_4449715-00050,Male,White,42.0,Cuba,Cigar Maker,No,No,,SouthAmerica,Proprietor,1
31776_4449715-00034,Male,White,32.0,Canada,Laborer,Yes,Yes,No,NorthAmerica,workers,1
31776_4449715-00034,Male,White,29.0,Canada,Clerk,Yes,Yes,No,NorthAmerica,paperworker,1
31776_4449715-00049,Male,White,51.0,Cuba,Cigar Maker,Yes,Yes,,SouthAmerica,Proprietor,1
31776_4449715-00049,Male,White,21.0,Canada,Driver,Yes,Yes,,NorthAmerica,servant,1
31776_4449715-00197,Male,White,37.0,South America,Cook,Yes,Yes,,South America,workers,1
4449800_00376,Male,White,32.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant,1
4449800_00371,Male,Chinese,43.0,China,Laborer,No,No,,Aisa,workers,1
4449800_00371,Male,Yellow,51.0,China,Proprietor,No,No,,Aisa,Proprietor,1
4449800_00409,Male,White,23.0,Mexico,Driver,Yes,Yes,,SouthAmerica,servant,1
4449800_00312,Female,Mulatto,19.0,Canada,Housework,Yes,Yes,No,NorthAmerica,servant,1
4449800_00312,Male,Mulatto,54.0,Canada,Porter,Yes,Yes,,NorthAmerica,servant,1
4449800_00343,Male,White,53.0,Canada,Porter,Yes,Yes,,NorthAmerica,servant,1
31776_4449715-00672,Male,White,38.0,Canada,Painter,Yes,Yes,,NorthAmerica,artist,1
31776_4449715-00679,Male,Chinese,40.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00679,Male,Chinese,41.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00679,Male,Chinese,47.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00679,Male,Chinese,48.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00681,Male,Chinese,22.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,41.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,39.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,27.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,24.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,44.0,China,Servant,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,20.0,China,Servant,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,29.0,China,Servant,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,45.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,27.0,China,Servant,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,40.0,China,Servant,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,36.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00680,Male,Chinese,27.0,China,Laborer,Yes,Yes,,Aisa,workers,1
31776_4449715-00680,Male,Chinese,48.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00681,Male,Chinese,24.0,China,Servant,Yes,Yes,,Aisa,servant,1
31776_4449715-00679,Male,Chinese,42.0,China,Cigar Maker,Yes,Yes,,Aisa,Proprietor,1
31776_4449715-00679,Male,Chinese,48.0,China,Cigar Maker,Yes,Yes,,Aisa,Proprietor,1
31776_4449715-00679,Male,Chinese,63.0,China,Cigar Maker,Yes,Yes,,Aisa,Proprietor,1
31776_4449715-00679,Male,Chinese,32.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00679,Male,Chinese,45.0,China,Salesman,Yes,Yes,,Aisa,servant,1
31776_4449715-00679,Male,Chinese,30.0,China,Salesman,Yes,Yes,,Aisa,servant,1
